# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_gofr[1] c_gofr[2] c_gofr[3] c_gofr[4] c_gofr[5] c_gofr[6] c_gofr[7]
10000 500
324 9.705 0.959872 522.975 0.95561 27.0461 0.963298 26.9528
325 9.735 0.958213 527.629 0.953421 27.2845 0.961347 27.1937
326 9.765 0.956946 532.305 0.948996 27.5232 0.960484 27.4358
327 9.795 0.955986 537.005 0.9544 27.7648 0.960462 27.6794
328 9.825 0.955831 541.733 0.953337 28.0076 0.961083 27.9247
329 9.855 0.956531 546.494 0.953216 28.2518 0.962037 28.1717
330 9.885 0.957236 551.287 0.960694 28.4995 0.963492 28.4206
331 9.915 0.958533 556.116 0.961266 28.7488 0.963876 28.6711
332 9.945 0.960215 560.983 0.960801 28.9995 0.966335 28.9238
333 9.975 0.962426 565.89 0.956435 29.2505 0.968654 29.1786
334 10.005 0.964797 570.839 0.961232 29.5044 0.971418 29.4357
335 10.035 0.967763 575.833 0.964043 29.7605 0.974141 29.695
336 10.065 0.970665 580.872 0.96876 30.0194 0.976549 29.9566
337 10.095 0.974403 585.961 0.976707 30.282 0.980697 30.2208
338 10.125 0.978513 591.102 0.976081 30.546 0.984292 30.4875
339 10.155 0.982678 596.295 0.976936 30.8118 0.988353 30.757
340 10.185 0.986775 601.54 0.980492 31.0801 0.992392 31.0292
341 10.215 0.991062 606.84 0.984773 31.3512 0.996307 31.304
342 10.245 0.995531 612.195 0.98528 31.6241 1.00006 31.5815
343 10.275 0.999697 617.603 0.989904 31.8998 1.00316 31.8615
344 10.305 1.00399 623.067 0.998072 32.1794 1.00662 32.1441
345 10.335 1.00833 628.586 1.00673 32.4631 1.00992 32.4293
346 10.365 1.01217 634.159 1.00757 32.7487 1.01348 32.7171
347 10.395 1.01562 639.782 1.0111 33.0369 1.01623 33.0074
348 10.425 1.01902 645.458 1.01177 33.327 1.01935 33.3003
349 10.455 1.02199 651.182 1.02173 33.6217 1.02222 33.5957
350 10.485 1.02491 656.956 1.0213 33.9179 1.02473 33.8935
351 10.515 1.02729 662.777 1.02463 34.2168 1.02715 34.1938
352 10.545 1.0291 668.641 1.02762 34.5182 1.02863 34.4962
353 10.575 1.03102 674.55 1.0261 34.821 1.02922 34.8005
354 10.605 1.03224 680.499 1.0251 35.1251 1.03017 35.1068
355 10.635 1.03315 686.487 1.02385 35.4306 1.03129 35.4151
356 10.665 1.03363 692.512 1.02095 35.737 1.03123 35.7252
357 10.695 1.0339 698.572 1.02157 36.0453 1.03041 36.0368
358 10.725 1.0336 704.665 1.01963 36.3547 1.03025 36.3501
359 10.755 1.03278 710.787 1.0182 36.6654 1.02926 36.6649
360 10.785 1.03173 716.936 1.01625 36.9773 1.02853 36.9811
361 10.815 1.0302 723.111 1.01761 37.2913 1.02673 37.2986
362 10.845 1.02875 729.312 1.01705 37.6069 1.02429 37.6171
363 10.875 1.02623 735.531 1.01654 37.924 1.02224 37.9367
364 10.905 1.02407 741.772 1.01327 38.2419 1.02015 38.2575
365 10.935 1.02143 748.031 1.01178 38.5611 1.01799 38.5793
366 10.965 1.01891 754.309 1.01214 38.8822 1.01509 38.9019
367 10.995 1.01589 760.602 1.00814 39.2037 1.01283 39.2256
368 11.025 1.01261 766.91 1.00517 39.526 1.00994 39.5502
369 11.055 1.00946 773.232 1.00434 39.8499 1.00658 39.8754
370 11.085 1.00625 779.568 0.999952 40.174 1.00342 40.2013
371 11.115 1.00295 785.918 0.996602 40.4989 1.00024 40.528
372 11.145 0.999997 792.283 0.993216 40.8243 0.997802 40.8557
373 11.175 0.996579 798.661 0.994726 41.1521 0.994716 41.1841
374 11.205 0.993472 805.053 0.997065 41.4823 0.991918 41.5133
375 11.235 0.990508 811.46 0.993556 41.8132 0.99003 41.8437
376 11.265 0.987885 817.884 0.991545 42.1452 0.987826 42.1751
377 11.295 0.985179 824.325 0.989 42.478 0.985015 42.5073
378 11.325 0.98251 830.782 0.984337 42.8111 0.982741 42.8406
379 11.355 0.980802 837.263 0.982459 43.1453 0.980632 43.1748
380 11.385 0.979092 843.766 0.980039 43.4804 0.978889 43.5103
381 11.415 0.977318 850.292 0.974867 43.8156 0.97697 43.8468
382 11.445 0.97607 856.844 0.976244 44.1529 0.976548 44.185
383 11.475 0.975167 863.424 0.976074 44.492 0.976085 44.5248
384 11.505 0.974316 870.033 0.973922 44.8321 0.976271 44.8664
385 11.535 0.974083 876.675 0.977457 45.1752 0.975466 45.2096
386 11.565 0.973835 883.35 0.979434 45.5208 0.975714 45.5546
387 11.595 0.973921 890.06 0.980217 45.8685 0.976755 45.9017
388 11.625 0.974699 896.81 0.979004 46.2176 0.977347 46.2509
389 11.655 0.975598 903.601 0.97986 46.5687 0.978306 46.6022
390 11.685 0.97657 910.434 0.97997 46.9217 0.979995 46.956
391 11.715 0.977917 917.312 0.986086 47.2788 0.981379 47.3121
392 11.745 0.979481 924.236 0.985249 47.6373 0.983494 47.6707
393 11.775 0.981625 931.21 0.990088 47.9995 0.98481 48.0317
394 11.805 0.983844 938.236 0.9918 48.3641 0.987548 48.3955
